a,b,c,d,e,f
14,21,31,38,40,42
7,13,19,20,36,38
1,19,20,24,37,40
10,14,16,19,27,33
5,16,23,31,32,37
2,3,4,9,21,28
4,5,23,28,30,32
6,12,26,29,35,41
1,20,25,35,36,39
1,4,9,13,20,29
2,11,24,28,33,34
1,8,23,30,31,37
3,15,26,31,35,39
3,14,16,20,28,37
7,9,18,22,25,28
1,25,35,36,37,41
3,15,19,20,24,35
4,15,16,27,34,39
1,12,19,22,28,41
3,9,29,30,32,33
3,5,6,12,13,21
2,12,18,23,24,25
17,19,20,21,24,25
2,16,19,24,28,30
9,14,19,24,28,33
2,18,28,33,40,42
9,10,16,31,40,42
1,15,23,33,41,42
6,7,12,25,33,41
1,3,16,30,34,41
8,11,21,23,33,39
4,11,13,21,32,33
1,6,7,19,29,42
9,25,27,34,36,37
5,7,20,23,32,38
2,11,36,38,40,42
7,11,18,32,36,37
5,10,11,16,24,31
6,24,26,34,35,40
1,16,22,27,32,41
2,33,35,37,38,42
4,8,14,27,29,34
1,2,13,21,33,40
3,11,16,20,30,36
1,11,15,22,28,40
5,12,26,31,38,41
2,9,20,21,26,27
14,17,19,21,27,37
17,21,25,28,39,42
8,14,15,16,31,37
14,17,33,35,37,42
6,10,11,20,29,37
5,8,13,16,23,42
8,17,23,31,35,38
5,6,16,36,37,40
2,6,14,25,28,35
11,18,20,24,28,40
17,18,19,32,33,39
2,23,27,30,37,40
5,7,20,22,23,37
11,21,30,31,36,42
3,7,11,13,26,36
4,8,10,17,24,30
2,10,23,33,38,41
8,10,23,27,35,38
4,16,26,27,29,37
3,9,11,27,31,39
7,16,18,27,33,38
2,13,16,23,32,33
20,23,27,29,34,41
3,4,17,19,34,38
8,9,14,20,24,31
5,6,25,35,37,42
3,17,21,25,27,36
12,13,24,29,34,40
6,7,18,26,28,33
6,11,13,22,31,42
1,7,8,11,15,16
9,16,18,22,23,31
9,16,28,29,31,39
7,14,18,19,24,32
5,6,13,30,39,41
5,10,26,27,29,37
13,16,20,23,31,40
2,7,9,25,27,29
8,17,24,31,37,42
15,19,27,31,34,35
5,17,21,29,33,35
10,16,20,22,35,39
3,9,12,28,34,42
1,5,9,36,40,42
14,18,24,27,33,36
2,3,6,14,22,32
4,5,13,23,27,31
1,2,4,7,21,35
8,11,21,25,26,36
8,10,25,26,33,35
4,5,7,30,31,39
9,10,14,29,32,36
1,11,12,19,22,37
6,17,21,24,31,41
2,9,17,22,37,42
18,27,31,36,37,42
5,12,21,24,37,39
7,17,25,31,35,36
9,11,16,33,39,40
5,6,17,19,24,36
10,19,23,24,27,34
1,8,9,14,18,24
3,5,11,19,27,32
7,11,23,24,30,42
13,18,21,22,31,36
2,7,9,16,23,26
7,8,21,23,37,41
11,21,25,29,34,42
8,9,16,33,37,40
4,7,12,16,37,40
1,16,18,20,21,36
6,11,31,32,33,35
2,6,8,26,35,42
16,18,19,21,27,32
5,11,26,28,37,41
3,8,19,22,29,40
10,22,23,24,25,36
2,8,19,24,27,42
7,8,22,24,27,31
11,15,17,24,35,39
1,33,34,38,39,40
2,10,22,26,27,40
8,11,15,16,24,26
1,9,12,20,25,30
2,9,16,24,28,29
7,20,25,27,33,38
11,15,21,24,31,38
8,11,14,26,29,37
20,21,26,33,35,42
3,11,12,26,32,41
5,20,23,33,34,39
1,3,11,21,24,26
4,12,16,27,34,40
11,12,23,26,32,35
6,8,23,25,32,41
5,8,16,21,23,34
8,11,18,24,39,42
10,18,19,30,35,37
6,23,24,27,28,37
1,7,15,18,20,28
4,6,16,19,27,30
13,14,16,17,18,25
13,15,19,25,37,38
2,12,13,14,17,39
4,11,19,26,31,39
4,5,21,23,30,38
1,8,25,36,39,42
14,15,21,31,37,40
12,17,23,28,31,37
10,11,12,17,22,33
14,19,21,34,37,38
4,6,17,26,32,40
9,12,23,24,33,38
1,7,16,18,39,40
3,11,12,17,25,33
5,6,18,20,23,35
3,18,19,30,36,38
2,6,7,8,15,35
3,7,8,9,29,31
4,6,19,21,28,36
8,13,14,33,38,41
3,6,14,24,28,34
7,11,17,21,23,28
1,8,10,37,38,41
2,9,13,16,24,29
6,12,23,28,30,36
1,7,14,21,29,39
3,8,11,32,35,38
4,9,20,23,25,38
1,3,4,13,23,33
4,16,29,34,37,38
1,4,13,27,33,39
2,3,10,26,32,35
8,11,17,23,29,34
10,15,26,35,36,39
2,7,11,21,30,39
3,12,17,18,25,30
3,11,20,24,32,33
1,3,7,25,27,35
9,15,24,25,26,40
5,6,15,32,36,37
1,17,26,30,32,36
2,8,26,31,35,40
9,10,19,23,31,40
4,10,15,18,36,42
1,5,7,24,27,33
6,7,17,22,24,28
4,5,13,28,34,36
7,11,19,30,37,42
8,13,20,21,24,40
9,14,15,22,31,35
10,21,34,37,38,39
10,19,24,28,29,40
4,5,9,16,17,24
6,10,17,28,35,40
1,8,9,11,19,35
1,3,10,14,29,33
4,6,13,15,18,39
2,5,13,23,36,41
12,21,25,28,30,36
5,14,19,22,31,40
22,25,28,31,41,42
3,6,8,18,21,25
12,15,20,21,23,27
1,12,18,23,30,33
3,15,21,26,27,36
14,19,23,25,32,40
6,12,22,34,39,40
17,21,23,27,28,42
1,16,18,23,29,42
4,11,18,36,40,41
11,21,25,34,39,42
1,4,8,11,26,35
14,15,17,31,35,42
16,18,19,29,35,42
4,6,21,26,30,42
15,21,23,26,36,38
5,13,14,15,18,35
1,17,19,20,23,24
5,15,27,34,35,41
3,9,13,21,24,38
3,4,9,10,19,34
22,26,30,31,36,39
1,7,17,21,24,29
12,20,24,25,40,42
7,10,14,16,17,32
6,7,8,21,23,36
1,9,22,24,30,38
9,15,29,30,36,39
12,22,24,28,29,34
4,11,14,21,26,34
14,17,34,39,40,41
3,5,19,32,40,42
10,24,30,36,40,41
4,10,17,18,22,28
4,15,18,21,25,29
4,5,6,7,31,32
8,17,21,29,32,35
6,8,26,29,34,39
1,28,30,34,35,42
6,10,12,23,38,41
5,12,24,33,40,41
14,19,22,23,29,40
7,9,19,21,28,33
3,7,22,25,27,38
1,10,11,17,23,40
4,13,26,29,37,40
10,11,24,37,38,39
2,14,19,21,28,29
4,10,12,30,37,40
17,19,21,23,32,33
13,18,27,29,31,38
1,10,18,19,20,22
3,10,14,16,20,21
4,15,20,26,27,33
3,4,5,29,38,39
9,13,21,23,27,31
4,8,15,21,24,27
3,12,14,15,37,38
16,19,24,26,28,38
17,26,35,36,38,42
10,18,22,25,29,32
7,12,18,28,37,40
10,16,18,37,38,41
1,2,11,12,27,35
3,18,22,23,31,38
5,10,12,23,30,33
1,9,15,20,26,40
4,6,10,17,27,39
9,12,13,17,24,28
7,8,11,28,30,39
3,8,12,18,25,41
4,5,6,20,36,41
5,14,28,30,35,39
1,12,24,27,30,41
1,6,13,17,20,22
5,14,19,22,23,26
4,6,7,33,37,38
5,7,9,10,20,38
3,7,14,18,34,38
11,15,22,26,30,36
18,19,26,28,36,41
5,6,10,19,21,38
2,12,16,27,35,39
2,3,8,9,23,36
4,11,21,23,33,38
8,19,34,35,36,40
11,12,16,25,34,39
2,6,7,23,26,40
8,10,15,19,33,38
9,13,15,29,33,34
3,5,11,16,25,29
3,5,11,13,34,35
5,13,25,26,38,40
1,4,19,28,37,39
2,16,17,18,20,34
6,8,12,15,23,41
3,11,13,19,27,37
3,9,12,17,29,33
2,12,19,20,24,36
4,8,19,21,33,34
8,12,24,31,37,42
4,6,11,14,25,41
5,12,21,23,26,28
4,6,17,18,26,35
10,19,23,28,29,32
2,6,9,10,20,30
10,14,18,30,34,38
15,19,21,31,39,42
3,5,13,16,18,26
11,25,29,32,36,39
8,12,20,21,32,40
5,7,22,28,32,34
9,11,14,24,27,28
7,13,26,36,37,41
9,11,17,20,27,33
2,7,8,23,28,30
13,15,17,20,21,35
9,22,31,37,38,40
4,10,13,20,21,41
7,12,16,19,37,40
9,18,21,22,23,36
3,8,11,15,16,26
16,17,19,28,31,41
13,15,18,20,30,40
12,17,23,28,29,36
4,11,16,27,35,41
5,6,10,21,39,40
13,19,21,25,35,39
4,9,19,25,26,37
6,12,21,32,40,42
7,9,14,29,34,40
18,23,27,31,38,41
2,3,11,21,22,38
13,31,36,37,39,41
5,8,25,34,38,40
7,10,20,28,35,41
7,10,14,20,26,33
12,17,19,20,22,24
5,8,14,19,28,32
3,14,15,17,38,41
5,10,19,24,37,39
4,6,24,30,37,41
5,8,13,15,18,30
6,11,12,16,23,32
6,9,14,26,34,35
3,4,19,21,30,32
4,8,18,30,31,34
15,23,24,26,34,38
3,5,11,20,29,35
3,6,7,15,26,32
3,5,10,14,26,39
1,4,8,21,29,34
15,16,17,28,33,38
5,9,22,23,25,39
5,8,20,23,27,41
2,3,14,32,36,41
4,9,12,20,21,30
3,9,14,16,30,41
5,11,16,22,28,34
13,16,17,23,24,26
1,2,18,22,23,35
10,12,18,30,39,42
3,14,31,33,37,42
9,11,17,18,34,38
8,9,11,33,37,40
3,12,27,30,32,36
6,10,11,16,19,22
13,25,27,29,34,39
4,9,12,13,20,40
3,15,20,34,37,42
12,15,27,31,40,42
1,18,19,29,35,38
4,16,17,23,28,38
5,19,20,23,26,42
2,15,17,33,34,39
1,3,15,33,36,38
3,9,10,14,15,40
12,18,22,25,31,34
16,21,23,26,31,32
11,19,23,28,38,40
5,8,11,27,29,38
2,21,30,35,39,41
4,6,10,32,33,34
12,14,17,18,28,41
12,15,25,26,29,30
8,29,32,34,41,42
11,26,27,30,31,33
17,18,25,27,31,33
6,17,18,30,37,39
6,17,25,32,38,41
11,18,27,30,33,38
8,23,25,32,35,36
10,15,18,20,21,25
4,13,15,17,27,41
4,15,27,29,31,35
6,19,25,30,33,38
2,4,15,28,29,30
1,4,12,15,21,31
10,11,18,35,40,41
2,5,6,28,30,42
2,3,19,27,30,37
4,9,12,13,28,30
8,9,16,21,37,40
17,21,27,29,30,33
13,14,17,24,25,33
9,10,11,12,20,31
2,3,5,10,23,35
4,17,27,31,32,34
1,12,18,22,28,41
4,8,17,20,28,39
1,10,13,20,34,37
5,13,26,28,30,36
6,15,16,38,40,42
2,3,11,24,30,36
17,24,31,32,38,40
5,14,18,21,39,40
21,28,31,32,33,39
1,12,19,25,35,39
2,6,11,23,29,33
9,14,23,24,27,35
1,2,11,13,34,41
2,8,13,18,20,29
16,17,22,27,31,42
2,6,7,29,30,33
9,13,22,23,28,37
6,8,15,18,22,36
3,4,9,12,20,25
1,17,19,22,36,39
2,7,12,15,37,42
1,3,12,19,24,28
11,15,18,31,34,41
4,9,12,19,31,39
5,7,9,17,22,35
2,9,19,24,34,40
18,20,24,28,32,36
4,9,16,25,28,38
6,14,17,23,32,33
3,24,29,33,38,41
3,11,16,26,34,38
7,10,18,21,24,42
11,20,22,23,24,36
2,7,10,18,31,40
13,18,19,21,29,37
5,7,15,17,18,42
2,9,13,19,24,35
2,11,14,18,25,41
6,14,18,24,25,39
1,11,14,24,32,40
9,15,29,33,35,40
26,30,31,34,36,42
12,23,26,29,40,42
2,8,13,23,32,33
11,21,22,36,38,41
7,8,10,13,30,40
6,10,12,15,24,32
2,4,17,18,25,40
1,8,9,27,33,41
